List of Designated Securities Eligible for Short Selling,
Effective date : 11/03/2019,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
513,2066,SHENGJINGBANK,HKD,EQTY,,,
514,2098,ZALL SMARTCOM,HKD,EQTY,,,
515,2099,CHINAGOLDINTL,HKD,EQTY,,,
516,2128,CHINA LESSO,HKD,EQTY,,,
517,2136,LIFESTYLE CHI,HKD,EQTY,,,
518,2139,BANK OF GANSU,HKD,EQTY,,,
519,2186,LUYE PHARMA,HKD,EQTY,,,
520,2196,FOSUN PHARMA,HKD,EQTY,,,
521,2198,CHINA SANJIANG,HKD,EQTY,,,
522,2202,CHINA VANKE,HKD,EQTY,,,
523,2208,GOLDWIND,HKD,EQTY,,,
524,2232,CRYSTAL INTL,HKD,EQTY,,,
525,2233,WESTCHINACEMENT,HKD,EQTY,,,
526,2238,GAC GROUP,HKD,EQTY,,,
527,2255,HAICHANG HLDG,HKD,EQTY,,,
528,2269,WUXI BIO,HKD,EQTY,,,
529,2280,HC GROUP,HKD,EQTY,,,
530,2282,MGM CHINA,HKD,EQTY,,,
531,2283,TK GROUP HLDG,HKD,EQTY,,,
532,2298,COSMO LADY,HKD,EQTY,,,
533,2299,BILLION IND,HKD,EQTY,,,
534,2303,HENGXING GOLD,HKD,EQTY,,,
535,2313,SHENZHOU INTL,HKD,EQTY,,,
536,2314,LEE & MAN PAPER,HKD,EQTY,,,
537,2318,PING AN,HKD,EQTY,,,
538,2319,MENGNIU DAIRY,HKD,EQTY,,,
539,2322,NOBLE CENTURY,HKD,EQTY,,,
540,2328,PICC P&C,HKD,EQTY,,,
541,2329,GUORUI PPT,HKD,EQTY,,,
542,2331,LI NING,HKD,EQTY,,,
543,2333,GREATWALL MOTOR,HKD,EQTY,,,
544,2338,WEICHAI POWER,HKD,EQTY,,,
545,2342,COMBA,HKD,EQTY,,,
546,2343,PACIFIC BASIN,HKD,EQTY,,,
547,2356,DAHSING BANKING,HKD,EQTY,,,
548,2357,AVICHINA,HKD,EQTY,,,
549,2359,WUXI APPTEC,HKD,EQTY,,,
550,2362,JINCHUAN INTL,HKD,EQTY,,,
551,2378,PRU,HKD,EQTY,,,
552,2380,CHINA POWER,HKD,EQTY,,,
553,2382,SUNNY OPTICAL,HKD,EQTY,,,
554,2383,TOM GROUP,HKD,EQTY,,,
555,2386,SINOPEC SEG,HKD,EQTY,,,
556,2388,BOC HONG KONG,HKD,EQTY,,,
557,2393,YESTAR HEALTH,HKD,EQTY,,,
558,2399,FORDOO,HKD,EQTY,,,
559,2488,LAUNCH TECH,HKD,EQTY,,,
560,2552,HUA MEDICINE-B,HKD,EQTY,,,
561,2588,BOC AVIATION,HKD,EQTY,,,
562,2600,CHALCO,HKD,EQTY,,,
563,2601,CPIC,HKD,EQTY,,,
564,2607,SH PHARMA,HKD,EQTY,,,
565,2608,SUNSHINE 100,HKD,EQTY,,,
566,2611,GTJA,HKD,EQTY,,,
567,2628,CHINA LIFE,HKD,EQTY,,,
568,2638,HKELECTRIC-SS,HKD,EQTY,,,
569,2662,CAMSING INTL,HKD,EQTY,,,
570,2666,UNI MEDICAL,HKD,EQTY,,,
571,2669,CHINA OVS PPT,HKD,EQTY,,,
572,2678,TEXHONG TEXTILE,HKD,EQTY,,,
573,2686,AAG ENERGY,HKD,EQTY,,,
574,2688,ENN ENERGY,HKD,EQTY,,,
575,2689,ND PAPER,HKD,EQTY,,,
576,2698,WEIQIAO TEXTILE,HKD,EQTY,,,
577,2727,SH ELECTRIC,HKD,EQTY,,,
578,2768,JIAYUAN INTL,HKD,EQTY,,,
579,2777,R&F PROPERTIES,HKD,EQTY,,,
580,2778,CHAMPION REIT,HKD,TRST,,,
581,2779,CH XINHUA EDU,HKD,EQTY,,,
582,2799,CHINA HUARONG,HKD,EQTY,,,
583,2800,TRACKER FUND,HKD,TRST,YES,,
584,2801,ISHARES CHINA,HKD,TRST,YES,,
585,2802,ISHARES EM ASIA,HKD,TRST,YES,,
586,2803,PREMIA BEDROCK,HKD,TRST,YES,,
587,2805,VANGUARDASXJP,HKD,TRST,YES,,
588,2808,EFUND CG BOND,HKD,TRST,YES,,
589,2810,PREMIAEMASEAN,HKD,TRST,YES,,
590,2811,HT CSI300 ETF,HKD,TRST,YES,,
591,2812,SAMSUNGCDRAGON,HKD,TRST,YES,,
592,2813,CAM CTPB BOND,HKD,TRST,YES,,
593,2819,ABF HK IDX ETF,HKD,TRST,YES,,
594,2821,ABF PAIF,USD,TRST,YES,,
595,2822,CSOP A50 ETF,HKD,TRST,YES,,
596,2823,ISHARES A50,HKD,TRST,YES,,
597,2824,LIPPO HK&M PROP,HKD,TRST,YES,,
598,2825,WISECSIHK100ETF,HKD,TRST,YES,,
599,2827,WISE CSI300 ETF,HKD,TRST,YES,,
600,2828,HSCEI ETF,HKD,TRST,YES,,
601,2832,BOSERA FA50,HKD,TRST,YES,,
602,2833,HS HSI ETF,HKD,TRST,YES,,
603,2834,ISHARESND100,HKD,TRST,YES,,
604,2836,ISHARES INDIA,HKD,TRST,YES,,
605,2838,HS FCI50 ETF,HKD,TRST,YES,,
606,2840,SPDR GOLD TRUST,HKD,TRST,YES,,
607,2843,AMUNDI A50,HKD,TRST,YES,,
608,2846,ISHARESCSI300,HKD,TRST,YES,,
609,2847,ISHARESFS100,HKD,TRST,YES,,
610,2848,TRMSCIKOREA,HKD,TRST,YES,,
611,2858,YIXIN,HKD,EQTY,,,
612,2866,COSCO SHIP DEV,HKD,EQTY,,,
613,2868,BJ CAPITAL LAND,HKD,EQTY,,,
614,2869,GREENTOWN SER,HKD,EQTY,,,
615,2877,SHINEWAY PHARM,HKD,EQTY,,,
616,2880,DALIAN PORT,HKD,EQTY,,,
617,2883,CHINA OILFIELD,HKD,EQTY,,,
618,2888,STANCHART,HKD,EQTY,,,
619,2899,ZIJIN MINING,HKD,EQTY,,,
620,3007,TRFXIC50,HKD,TRST,YES,,
621,3008,C-SHS CSI 300,HKD,TRST,YES,,
622,3010,ISHARES AXJ,HKD,TRST,YES,,
623,3012,AMUNDI HK35,HKD,TRST,YES,,
624,3015,X TRNIFTY50,HKD,TRST,YES,,
625,3016,TRMSCIPHIL,HKD,TRST,YES,,
626,3019,X TRMSCIWORLD,HKD,TRST,YES,,
627,3020,X TRMSCIUSA,HKD,TRST,YES,,
628,3023,PA AI&ROBOTICS,HKD,TRST,YES,,
629,3024,WISE SSE50ETF,HKD,TRST,YES,,
630,3027,X TRMSCIRUSSIA,HKD,TRST,YES,,
631,3036,TRMSCITAIWAN,HKD,TRST,YES,,
632,3040,MR MSCI CN ETF,HKD,TRST,YES,,
633,3041,VALUE KOREA ETF,HKD,TRST,YES,,
634,3043,TRMSCIPACEXJ,HKD,TRST,YES,,
635,3046,VALUE CHINA ETF,HKD,TRST,YES,,
636,3048,TRMSCIBRAZIL,HKD,TRST,YES,,
637,3049,X TRCSI300,HKD,TRST,YES,,
638,3053,CSOP HKD MM,HKD,TRST,YES,,
639,3055,TRMSCICHINA,HKD,TRST,YES,,
640,3060,VALUE TW ETF,HKD,TRST,YES,,
641,3065,TRMSCISG,HKD,TRST,YES,,
642,3070,PING AN HKDIV,HKD,TRST,YES,,
643,3073,SPDR GREATCHINA,HKD,TRST,YES,,
644,3074,ISHARESMSCITW,HKD,TRST,YES,,
645,3079,CICC CGB,HKD,TRST,YES,,
646,3080,PING AN CGB,HKD,TRST,YES,,
647,3081,VALUEGOLD ETF,HKD,TRST,YES,,
648,3082,TRMSCIMALAY,HKD,TRST,YES,,
649,3084,VALUE JAPAN ETF,HKD,TRST,YES,,
650,3085,VANGUARDAXJHY,HKD,TRST,YES,,
651,3086,BMO NASDAQ100,HKD,TRST,YES,Change of Stock Short Name,
652,3087,X TRFTSEVIET,HKD,TRST,YES,,
653,3092,TRMSCITHAI,HKD,TRST,YES,,
654,3093,CICCSELECT100,HKD,TRST,YES,,
655,3095,VALUE A SHARE,HKD,TRST,YES,,
656,3096,CSOP USD MM,HKD,TRST,YES,,
657,3097,F MR OIL ETF,HKD,TRST,YES,,
658,3099,X TRMSCIINDO,HKD,TRST,YES,,
659,3100,EFUND CSI100,HKD,TRST,YES,,
660,3101,VANGUARDDVEUR,HKD,TRST,YES,,
661,3110,MR HS HDIVY ETF,HKD,TRST,YES,,
662,3115,ISHARESHSI,HKD,TRST,YES,,
663,3116,XIE GOLD MINERS,HKD,TRST,YES,,
664,3118,HGI MSCI CN A,HKD,TRST,YES,,
665,3120,EFUND CES 120,HKD,TRST,YES,,
666,3121,BMO AP REAL EST,HKD,TRST,YES,,
667,3122,CSOP CNSTBOND,HKD,TRST,YES,,
668,3126,VANGUARDJAPAN,HKD,TRST,YES,,
669,3127,MR CSI300 ETF,HKD,TRST,YES,,
670,3128,HS AINDTOPETF,HKD,TRST,YES,,
671,3129,CSOP 300SMART,HKD,TRST,YES,,
672,3135,F CSOP OIL ETF,HKD,TRST,YES,,
673,3136,HGI MSCIA50,HKD,TRST,YES,,
674,3137,CSOP CES A80,HKD,TRST,YES,,
675,3140,VANGUARDSP500,HKD,TRST,YES,,
676,3141,BMO ASIA IGB,HKD,TRST,YES,Change of Stock Short Name,
677,3143,BMO HK BANKS,HKD,TRST,YES,,
678,3145,BMO ASIA HIGHDV,HKD,TRST,YES,,
679,3146,ISHARESDAX,HKD,TRST,YES,,
680,3147,CSOP CHINEXT,HKD,TRST,YES,,
681,3149,CSOP MSCI,HKD,TRST,YES,,
682,3150,HGI CSI500,HKD,TRST,YES,,
683,3155,ISHARESES50,HKD,TRST,YES,,
684,3156,GFI MSCI A I,HKD,TRST,YES,,
685,3157,CAM SCSMALLCAP,HKD,TRST,YES,,
686,3160,BMO JAPAN HDG,HKD,TRST,YES,,
687,3161,XIE CHIMER ETF,HKD,TRST,YES,,
688,3163,PA MULTI-FACTOR,HKD,TRST,YES,,
689,3165,BMO EU QLTY HDG,HKD,TRST,YES,,
690,3166,PA QLTY FACTOR,HKD,TRST,YES,,
691,3167,ICBCCSOPCHINA,HKD,TRST,YES,,
692,3169,VANGUARDCHINA,HKD,TRST,YES,,
693,3170,ISHARESKS200,HKD,TRST,YES,,
694,3171,COMSTAGE DAX,HKD,TRST,YES,,
695,3173,PREMIA NEW ECON,HKD,TRST,YES,,
696,3175,F SAMSUNG OIL,HKD,TRST,YES,,
697,3177,COMSTAGE DIVDAX,HKD,TRST,YES,,
698,3180,CAM CES A80,HKD,TRST,YES,,
699,3181,PREMIAASIATEC,HKD,TRST,YES,,
700,3182,WISE NEW ECON50,HKD,TRST,YES,,
701,3186,CICCKRANECNET,HKD,TRST,YES,,
702,3188,CAM CSI300,HKD,TRST,YES,,
703,3197,CAM MSCI AINC,HKD,TRST,YES,,
704,3198,PING AN 5HANDL,HKD,TRST,YES,,
705,3199,CSOP 5YCGBOND,HKD,TRST,YES,,
706,3301,RONSHINECHINA,HKD,EQTY,,,
707,3306,JNBY,HKD,EQTY,,,
708,3308,GOLDEN EAGLE,HKD,EQTY,,,
709,3309,C-MER EYE,HKD,EQTY,,,
710,3311,CHINA STATE CON,HKD,EQTY,,,
711,3319,A-LIVING,HKD,EQTY,,,
712,3320,CHINARES PHARMA,HKD,EQTY,,,
713,3323,CNBM,HKD,EQTY,,,
714,3328,BANKCOMM,HKD,EQTY,,,
715,3331,VINDA INT'L,HKD,EQTY,,,
716,3333,EVERGRANDE,HKD,EQTY,,,
717,3336,JU TENG INTL,HKD,EQTY,,,
718,3337,ANTON OILFIELD,HKD,EQTY,,,
719,3339,LONKING,HKD,EQTY,,,
720,3360,FE HORIZON,HKD,EQTY,,,
721,3369,QHD PORT,HKD,EQTY,,,
722,3377,SINO-OCEAN GP,HKD,EQTY,,,
723,3380,LOGAN PPT,HKD,EQTY,,,
724,3382,TIANJINPORT DEV,HKD,EQTY,,,
725,3383,AGILE GROUP,HKD,EQTY,,,
726,3393,WASION HOLDINGS,HKD,EQTY,,,
727,3396,LEGENDHOLDING,HKD,EQTY,,,
728,3606,FUYAO GLASS,HKD,EQTY,,,
729,3613,TONGRENTANGCM,HKD,EQTY,,,
730,3618,CQRC BANK,HKD,EQTY,,,
731,3633,ZHONGYU GAS,HKD,EQTY,,,
732,3639,YIDA CHINA,HKD,EQTY,,,
733,3669,YONGDA AUTO,HKD,EQTY,,,
734,3683,GREAT HARVEST,HKD,EQTY,,,
735,3690,MEITUAN-W,HKD,EQTY,,,
736,3698,HUISHANG BANK,HKD,EQTY,,,
737,3700,INKE,HKD,EQTY,,,
738,3709,KORADIOR,HKD,EQTY,,,
739,3799,DALI FOODS,HKD,EQTY,,,
740,3800,GCL-POLY ENERGY,HKD,EQTY,,,
741,3808,SINOTRUK,HKD,EQTY,,,
742,3813,POU SHENG INT'L,HKD,EQTY,,,
743,3818,CHINA DONGXIANG,HKD,EQTY,,,
744,3836,HARMONY AUTO,HKD,EQTY,,,
745,3866,BQD,HKD,EQTY,,,
746,3883,CHINA AOYUAN,HKD,EQTY,,,
747,3888,KINGSOFT,HKD,EQTY,,,
748,3898,CRRC TIMES ELEC,HKD,EQTY,,,
749,3899,CIMC ENRIC,HKD,EQTY,,,
750,3900,GREENTOWN CHINA,HKD,EQTY,,,
751,3908,CICC,HKD,EQTY,,,
752,3918,NAGACORP,HKD,EQTY,,,
753,3933,UNITED LAB,HKD,EQTY,,,
754,3958,DFZQ,HKD,EQTY,,,
755,3968,CM BANK,HKD,EQTY,,,
756,3969,CHINA CRSC,HKD,EQTY,,,
757,3983,CHINA BLUECHEM,HKD,EQTY,,,
758,3988,BANK OF CHINA,HKD,EQTY,,,
759,3993,CMOC,HKD,EQTY,,,
760,3996,CH ENERGY ENG,HKD,EQTY,,,
761,3998,BOSIDENG,HKD,EQTY,,,
762,4332,AMGEN-T,HKD,EQTY,,,
763,4333,CISCO-T,HKD,EQTY,,,
764,4335,INTEL-T,HKD,EQTY,,,
765,4336,APPL MATERIAL-T,HKD,EQTY,,,
766,4337,STARBUCKS-T,HKD,EQTY,,,
767,4338,MICROSOFT-T,HKD,EQTY,,,
768,6030,CITIC SEC,HKD,EQTY,,,
769,6058,CISI FIN,HKD,EQTY,,,
770,6060,ZA ONLINE,HKD,EQTY,,,
771,6066,CSC,HKD,EQTY,,,
772,6068,WISDOM EDU INTL,HKD,EQTY,,,
773,6088,FIT HON TENG,HKD,EQTY,,,
774,6098,CG SERVICES,HKD,EQTY,,,
775,6099,CMSC,HKD,EQTY,,,
776,6100,TALENT LIEPIN,HKD,EQTY,,,
777,6116,LA CHAPELLE,HKD,EQTY,,,
778,6122,JIUTAI RCB,HKD,EQTY,,,
779,6138,HARBIN BANK,HKD,EQTY,,,
780,6139,JINMAO HOTEL-SS,HKD,EQTY,,,
781,6158,ZHENRO PPT,HKD,EQTY,,,
782,6160,BEIGENE-B,HKD,EQTY,,,
783,6166,CHINA VAST,HKD,EQTY,,,
784,6168,CHINA U-TON,HKD,EQTY,,,
785,6169,YUHUA EDU,HKD,EQTY,,,
786,6178,EB SECURITIES,HKD,EQTY,,,
787,6190,BANKOFJIUJIANG,HKD,EQTY,,,
788,6196,BANKOFZHENGZHOU,HKD,EQTY,,,
789,6198,QINGDAO PORT,HKD,EQTY,,,
790,6808,SUNART RETAIL,HKD,EQTY,,,
791,6818,CEB BANK,HKD,EQTY,,,
792,6823,HKT-SS,HKD,EQTY,,,
793,6826,HAOHAI BIOTEC,HKD,EQTY,,,
794,6828,BG BLUE SKY,HKD,EQTY,,,
795,6837,HAITONG SEC,HKD,EQTY,,,
796,6858,HONMAGOLF,HKD,EQTY,,,
797,6860,FINGERTANGO,HKD,EQTY,,,
798,6862,HAIDILAO,HKD,EQTY,,,
799,6868,TENFU,HKD,EQTY,,,
800,6869,YOFC,HKD,EQTY,,,
801,6878,DIFFER GROUP,HKD,EQTY,,,
802,6881,CGS,HKD,EQTY,,,
803,6886,HTSC,HKD,EQTY,,,
804,6889,DYNAM JAPAN,HKD,EQTY,,,
805,7200,FL2 CSOP HSI,HKD,TRST,YES,,
806,7205,FL2SAMSUNGHSI,HKD,TRST,YES,,
807,7210,XL2 XIE CHIMER,HKD,TRST,YES,,
808,7221,FL2CAMDXNHSI,HKD,TRST,YES,,
809,7228,FL2SAMSUNGHSCEI,HKD,TRST,YES,,
810,7230,FL2 MR HSCEI,HKD,TRST,YES,,
811,7231,FL2 MR HSI,HKD,TRST,YES,,
812,7242,FL2EFUND YT HSI,HKD,TRST,YES,,
813,7261,FL2CAMDXNNDQ100,HKD,TRST,YES,,
814,7267,FL2CAMDXNHSCEI,HKD,TRST,YES,,
815,7288,FL2 CSOP HSCEI,HKD,TRST,YES,,
816,7300,FI CSOP HSI,HKD,TRST,YES,,
817,7302,FI EFUND YT HSI,HKD,TRST,YES,,
818,7312,FISAMSUNGHSI,HKD,TRST,YES,,
819,7321,FICAMDXNHSI,HKD,TRST,YES,,
820,7322,XI MR S&P500   ,HKD,TRST,YES,,
821,7328,FISAMSUNGHSCEI,HKD,TRST,YES,,
822,7331,FICAMDXNNDQ100,HKD,TRST,YES,,
823,7336,FI MR HSI,HKD,TRST,YES,,
824,7341,FICAMDXNHSCEI,HKD,TRST,YES,,
825,7362,FI MR HSCEI,HKD,TRST,YES,,
826,7388,FI CSOP HSCEI,HKD,TRST,YES,,
827,8032,VIVA CHINA,HKD,EQTY,,,
828,8047,CHINAOCEAN FISH,HKD,EQTY,,,
829,8057,MADISON HLDG,HKD,EQTY,,,
830,8083,CHINA YOUZAN,HKD,EQTY,,,
831,8137,HONBRIDGE,HKD,EQTY,,,
832,8207,CHONGSING HLDGS,HKD,EQTY,,,
833,8265,CHINA TRUSTFUL,HKD,EQTY,,,
834,8279,AGTECH HOLDINGS,HKD,EQTY,,,
835,8283,ZHENG LI HLDG,HKD,EQTY,,,
836,8293,SINGASIA HLDG,HKD,EQTY,,,
837,8469,SHENGYE CAPITAL,HKD,EQTY,,,
838,9010,ISHARES AXJ-U,USD,TRST,YES,,
839,9074,ISHARESMSCITW-U,USD,TRST,YES,,
840,9081,VALUEGOLD ETF-U,USD,TRST,YES,,
841,9085,VANGUARDAXJHY-U,USD,TRST,YES,,
842,9086,BMO NASDAQ100-U,USD,TRST,YES,Add,
843,9096,CSOP USD MM-U,USD,TRST,YES,,
844,9101,VANGUARDDVEUR-U,USD,TRST,YES,,
845,9115,ISHARESHSI-U,USD,TRST,YES,,
846,9126,VANGUARDJAPAN-U,USD,TRST,YES,,
847,9140,VANGUARDSP500-U,USD,TRST,YES,,
848,9141,BMO ASIA IGB-U,USD,TRST,YES,Add,
849,9146,ISHARESDAX-U,USD,TRST,YES,,
850,9155,ISHARESES50-U,USD,TRST,YES,,
851,9167,ICBCCSOPCHINA-U,USD,TRST,YES,,
852,9169,VANGUARDCHINA-U,USD,TRST,YES,,
853,9170,ISHARESKS200-U,USD,TRST,YES,,
854,9181,PREMIAASIATEC-U,USD,TRST,YES,,
855,9186,CICCKRANECNET-U,USD,TRST,YES,,
856,9199,CSOP 5YCGBOND-U,USD,TRST,YES,,
857,9805,VANGUARDASXJP-U,USD,TRST,YES,,
858,9810,PREMIAEMASEAN-U,USD,TRST,YES,,
859,9834,ISHARESND100-U,USD,TRST,YES,,
860,9836,ISHARES INDIA-U,USD,TRST,YES,,
861,9846,ISHARESCSI300-U,USD,TRST,YES,,
862,9847,ISHARESFS100-U,USD,TRST,YES,,
863,82805,VANGUARDASXJP-R,CNY,TRST,YES,,
864,82808,EFUND CG BOND-R,CNY,TRST,YES,,
865,82811,HT CSI300 ETF-R,CNY,TRST,YES,,
866,82813,CAM CTPB BOND-R,CNY,TRST,YES,,
867,82822,CSOP A50 ETF-R,CNY,TRST,YES,,
868,82823,ISHARES A50-R,CNY,TRST,YES,,
869,82828,HSCEI ETF-R,CNY,TRST,YES,,
870,82832,BOSERA FA50-R,CNY,TRST,YES,,
871,82833,HS HSI ETF-R,CNY,TRST,YES,,
872,82834,ISHARESND100-R,CNY,TRST,YES,,
873,82836,ISHARES INDIA-R,CNY,TRST,YES,,
874,82843,AMUNDI A50-R,CNY,TRST,YES,,
875,82846,ISHARESCSI300-R,CNY,TRST,YES,,
876,82847,ISHARESFS100-R,CNY,TRST,YES,,
877,83008,C-SHS CSI 300-R,CNY,TRST,YES,,
878,83010,ISHARES AXJ-R,CNY,TRST,YES,,
879,83012,AMUNDI HK35-R,CNY,TRST,YES,,
880,83053,CSOP HKD MM-R,CNY,TRST,YES,,
881,83074,ISHARESMSCITW-R,CNY,TRST,YES,,
882,83079,CICC CGB-R,CNY,TRST,YES,,
883,83081,VALUEGOLD ETF-R,CNY,TRST,YES,,
884,83085,VANGUARDAXJHY-R,CNY,TRST,YES,,
885,83093,CICCSELECT100-R,CNY,TRST,YES,,
886,83095,VALUE A SHARE-R,CNY,TRST,YES,,
887,83100,EFUND CSI100-R,CNY,TRST,YES,,
888,83101,VANGUARDDVEUR-R,CNY,TRST,YES,,
889,83115,ISHARESHSI-R,CNY,TRST,YES,,
890,83118,HGI MSCI CN A-R,CNY,TRST,YES,,
891,83120,EFUND CES 120-R,CNY,TRST,YES,,
892,83122,CSOP CNSTBOND-R,CNY,TRST,YES,,
893,83126,VANGUARDJAPAN-R,CNY,TRST,YES,,
894,83127,MR CSI300 ETF-R,CNY,TRST,YES,,
895,83128,HS AINDTOPETF-R,CNY,TRST,YES,,
896,83129,CSOP 300SMART-R,CNY,TRST,YES,,
897,83136,HGI MSCIA50-R,CNY,TRST,YES,,
898,83137,CSOP CES A80-R,CNY,TRST,YES,,
899,83140,VANGUARDSP500-R,CNY,TRST,YES,,
900,83146,ISHARESDAX-R,CNY,TRST,YES,,
901,83147,CSOP CHINEXT-R,CNY,TRST,YES,,
902,83149,CSOP MSCI-R,CNY,TRST,YES,,
903,83150,HGI CSI500-R,CNY,TRST,YES,,
904,83155,ISHARESES50-R,CNY,TRST,YES,,
905,83156,GFI MSCI A I-R,CNY,TRST,YES,,
906,83167,ICBCCSOPCHINA-R,CNY,TRST,YES,,
907,83168,HS RMB GOLD ETF,CNY,TRST,YES,,
908,83169,VANGUARDCHINA-R,CNY,TRST,YES,,
909,83170,ISHARESKS200-R,CNY,TRST,YES,,
910,83180,CAM CES A80-R,CNY,TRST,YES,,
911,83186,CICCKRANECNET-R,CNY,TRST,YES,,
912,83188,CAM CSI300-R,CNY,TRST,YES,,
913,83197,CAM MSCI AINC-R,CNY,TRST,YES,,
914,83199,CSOP 5YCGBOND-R,CNY,TRST,YES,,
915,87001,HUI XIAN REIT,CNY,TRST,,,
